File Inclusions and Command Injections (by xochipilli and venom)

 <venom>	 a remote file inclusion vulnerability, also called insecure
 <xochipilli>	let me confirm
 <venom>	whois 
 <venom>	will work
 <xochipilli>	well i remember
 <venom>	or i mean
 <xochipilli>	theres a very common unix util
 <venom>	u could just do
 <venom>	groups
 <xochipilli>	w/ a parsin error
 <venom>	o
 <xochipilli>	that lets you do this
 <venom>	idk wut ur talkin about
 <xochipilli>	hold plz
 <venom>	u sure thats not just unclean php
 <venom>	lol
 <xochipilli>	yeah
 <xochipilli>	sec
 <xochipilli>	it mentions it in the man page
 <xochipilli>	actually
 <MrWonderfull>	so what can i read to understand what u talkin about here? all looks very interesting
 <MrWonderfull>	=)
 <xochipilli>	maybe its not whois
 <xochipilli>	ill dig it up for you guys later
 <xochipilli>	MrWonderfull: what dont you udnerstand so far?
 <xochipilli>	understand*
 <venom>	MrWonderfull: type
 <venom>	info coreutils
 <venom>	lol
 <venom>	xochipilli: he total newb
 <venom>	doesn't understand nethin thought string termination was closing a forum thread
 <MrWonderfull>	^^
 <xochipilli>	well, ill try to break it down for him
 <xochipilli>	so
 <xochipilli>	what system()
 <xochipilli>	does
 <xochipilli>	is execute a cli command
 <xochipilli>	in this case, whois, which will bring up info on a domain
 <MrWonderfull>	ah
 <xochipilli>	if youre on linux, you can pull up a terminal
 <xochipilli>	punch in
 <xochipilli>	whois google.com
 <xochipilli>	itll give u some nice info about google.com and who registered it
 <xochipilli>	so, lets say i wrote a nice little script
 <xochipilli>	so my friends and i can run whois from my website
 <xochipilli>	id calll
 <xochipilli>	system("whois $url");
 <xochipilli>	where $url is the user input
 <xochipilli>	follow?
 <xochipilli>	so the url might be like
 <MrWonderfull>	yep
 <xochipilli>	http://whatever.com/whois.php?domain=google.com
 <xochipilli>	so now, in bash, theres a few ways you can 'string' commands together
 <xochipilli>	for exanple
 <xochipilli>	a command is terminated by a ;
 <xochipilli>	so like
 <xochipilli>	whois google.com; whois yahoo.com
 <xochipilli>	will run those two commands in sequence
 <venom>	^
 <venom>	u can also use & or && 
 <xochipilli>	so, what would happen if i did
 <xochipilli>	or |
 <xochipilli>	http://whatever.com/whois.php?domain=google.com;rm -rf /;
 <xochipilli>	or watever
 <venom>	or u can issue subcmds with `` and $()
 <xochipilli>	http://whatever.com/whois.php?domain=google.com;SOME COMMAND;
 <venom>	so like
 <xochipilli>	http://whatever.com/whois.php?domain=google.com;rm -rf /;
 <venom>	if ; is filtered 
 <xochipilli>	oops
 <venom>	u could do
 <xochipilli>	http://whatever.com/whois.php?domain=google.com|SOME COMMAND|
 <venom>	domain=$(whoami)
 <xochipilli>	http://whatever.com/whois.php?domain=google.com&&SOME COMMAND&&
 <venom>	n it wuld say domain not found
 <xochipilli>	http://whatever.com/whois.php?domain=google.com&SOME COMMAND&
 <venom>	in whois output
 <xochipilli>	http://whatever.com/whois.php?domain=google.com&`SOME COMMAND`
 <venom>	n the username
 <xochipilli>	http://whatever.com/whois.php?domain=google.com&$(SOME COMMAND)
 <MrWonderfull>	it would execute as if it were part of the bash script?
 <xochipilli>	yup
 <venom>	yea sometimes
 <venom>	if its vuln
 <xochipilli>	because system() essentially runs a bash script
 <venom>	^
 <xochipilli>	so you can inject your own bash in
 <xochipilli>	MrWonderfull: read the bash tut
 <venom>	find -perms 777
 <venom>	lol
 <xochipilli>	itll make some ofthis a little more clear
 <xochipilli>	so
 <xochipilli>	another thing to note
 <xochipilli>	venom: do you remember the bash variable
 <xochipilli>	w/ a space in it
 <xochipilli>	?
 <MrWonderfull>	i wrote first script 2day, so leet
 <xochipilli>	i though it ${IFM}
 <xochipilli>	but im wrong
 <xochipilli>	its something like that tho
 <venom>	xochipilli: not off top of head
 <xochipilli>	ill look it up for you guys
 <xochipilli>	but sometimes, you might have issues w/ spaces
 <xochipilli>	for whatever reason, their script might not allow them
 <xochipilli>	conveniently, theres an environment variable in bash
 <xochipilli>	which just contains a space
 <venom>	^lol
 <xochipilli>	cant remember what its called atm :/
 <xochipilli>	ill look it up for you guys later
 <venom>	not all distros got it
 <venom>	but some do
 <xochipilli>	^
 <MrWonderfull>	%20?
 <venom>	no
 <xochipilli>	nah
 <venom>	thats not an env var
 <xochipilli>	that a uri encoded space
 <Frosty>	can't we just run
 <xochipilli>	bash variables look like $variable
 <Frosty>	like system(php(include(RFI)))
 <darkspline>	instead of nuyll injection couldn't you just space inject the hex val?
 <xochipilli>	well, you could, itd be kinda silly tho
 <xochipilli>	and it wouldnt look lik that
 <xochipilli>	Frosty: you can execute any bash command
 <xochipilli>	you can download and exec programs
 <xochipilli>	do anything the apache user has privs to do
 <xochipilli>	no need to muck about w/ php
 <venom>	or the suphp user
 <xochipilli>	^
 <venom>	depends on the server config
 <xochipilli>	some shared hosts
 <xochipilli>	will use suphp
 <Frosty>	that was to avoid the special char issue
 <xochipilli>	Frosty: well, to do that youd need spaces
 <xochipilli>	the command wouldnt actually look like that
 <xochipilli>	so some shared hosts
 <xochipilli>	use suphp
 <xochipilli>	so that each users php runs as their own user
 <xochipilli>	not apache
 <xochipilli>	what is relaly "cool"
 <xochipilli>	is that SOME DONT
 <xochipilli>	meaning
 <xochipilli>	if you pop one user on a shared host
 <xochipilli>	you can read EVERY OTHER USERS WEB FILES
 <xochipilli>	you can read out mysql logins
 <xochipilli>	dump databases
 <xochipilli>	modify php files (sometimes)
 <xochipilli>	its fun time
 <xochipilli>	s
 <xochipilli>	make sense?
 <xochipilli>	since all the users are essentially grouped under one user
 <MrWonderfull>	pop a wser? what is?
 <xochipilli>	user*
 <xochipilli>	like, lets say
 <xochipilli>	theres two websites
 <xochipilli>	on one host
 <xochipilli>	and one is vulnerable
 <xochipilli>	if they're both running under the same account
 <xochipilli>	you can access both
 <Fox>	Claudie. PM me.
 <xochipilli>	what suphp does, is make it so they all run under different accounts
 <MrWonderfull>	i c
 <venom>	but sometimes
 <venom>	bad permissions
 <venom>	let u access other accts anyway
 <xochipilli>	^ also true
 <xochipilli>	so
 <xochipilli>	last tihng
 <MrWonderfull>	so to pop a user is to have their access level?
 <xochipilli>	yeah
 <xochipilli>	pop == hack
 <xochipilli>	execute commands as that user
 <xochipilli>	in this case using a command injection
 <MrWonderfull>	okie
 <xochipilli>	now on some systems
 <xochipilli>	the 'apache' user
 <xochipilli>	runs all the php scripts
 <xochipilli>	so any access you get will the access the apache user has
 <xochipilli>	meaning you can access everyones web files, since theyre all grouped under apache
 <xochipilli>	which as i said
 <xochipilli>	is fun times
 <xochipilli>	haha
 <xochipilli>	this is fairly common with shitty shared shosts
 <xochipilli>	its a good practice
 <xochipilli>	if you cant own a site
 <venom>	super-shitty shared hosts
 <xochipilli>	see what else is hosted on the box
 <venom>	^
 <xochipilli>	maybe you can own another site
 <xochipilli>	and get into their shit that way
 <venom>	yup
 <xochipilli>	so
 <xochipilli>	perl's open()
 <MrWonderfull>	mhm!
 <xochipilli>	this wont make 100% sense unless you know
 <xochipilli>	perl
 <xochipilli>	but ill do my best to explain
 <xochipilli>	lets say i wrote that whois script in perl
 <xochipilli>	it would look like this:
 <venom>	php also has popen() just like perls open() but u dont see it so often
 <venom>	just a note
 <xochipilli>	this doesnt apply to popen
 <venom>	o
 <xochipilli>	open("whois $url |");
 <xochipilli>	open(WHOIS, "whois $url |");*
 <xochipilli>	basically
 <xochipilli>	to open a pipe in perl
 <xochipilli>	you use the normal file open command
 <xochipilli>	but u toss a | in there
 <xochipilli>	meaning, if you can inject a | into any perl open
 <xochipilli>	even if its not executed a command
 <xochipilli>	it could just be an innocuous file read
 <xochipilli>	open(FH, "files/$page");
 <xochipilli>	if you do
 <xochipilli>	open(FH, "files/|id|");
 <xochipilli>	or watever
 <xochipilli>	itll execute it
 <xochipilli>	because perl's open is weird that way
 <xochipilli>	thats a fairly obscure case, but i think its a fun one
 <xochipilli>	so i mention it
<xochipilli>	thats basically it
 <xochipilli>	i hope not too much of this was repetitive
 <xochipilli>	ill go through the other talk and figure out what was new
 <xochipilli>	and append this as 'notes'
 <xochipilli>	append the new stuff
 <xochipilli>	i suspect hteres a few tricks that werent mentioned
 <MrWonderfull>	hmmm
 <xochipilli>	or if someone wants to go through
 <xochipilli>	and makes notes
 <xochipilli>	that would be much appreciated
 <AcidWaSH>	thanx for the class xochipilli !!
 <xochipilli>	np <3
 <darkspline>	thats was cool
 <darkspline>	thnxs
 <xochipilli>	lots of lil trix
 <xochipilli>	in there
 <xochipilli>	part of why lfi and rci are fun sploits
 <xochipilli>	you can rly get creative w/ em
 <Frosty>	ty xochipilli 
 <xochipilli>	np
